Open,High,Low,Close,Adj Close,Volume,Search Vol
150233.875,152219.2969,142620.3125,143516.9844,143516.9844,3.46E+11,0.43407
143442.4063,148074.2188,140040.3281,147019.125,147019.125,4.02E+11,0.3591
146919.7031,148579.4688,144656.9844,146222.7344,146222.7344,3.36E+11,0.33542
146170.875,151620.1875,144573.7969,150964.6406,150964.6406,3.51E+11,0.31174
150906.2813,150759.6563,144571.0469,144794.9063,144794.9063,3.32E+11,0.35515
144526.8594,145934.0313,137932.5156,138234.0469,138234.0469,3.16E+11,0.34134
138375.8594,139368.1563,126715.7031,128237.5,128237.5,4.01E+11,0.30582
128109.5938,134432.6094,124884.2188,132327.625,132327.625,3.73E+11,0.2565
132269.3438,133815.2344,126893.2188,128639.0391,128639.0391,3.21E+11,0.26044
128539.9453,131664.3281,126943.8281,127384.3281,127384.3281,2.97E+11,0.2269
127628.8047,127999.2969,125993.9219,126684.4688,126684.4688,2.78E+11,0.24071
126617.9063,127645.0703,119630.4688,119752.4688,119752.4688,3.17E+11,0.32161
120016.4453,131638.3281,119320.5391,129591.3828,129591.3828,3.80E+11,0.39264
129561.0391,132190.5469,125097.6484,126351.5,126351.5,3.28E+11,0.45972
126120.3672,129614.4297,125630.7891,127495.125,127495.125,3.21E+11,0.30385
127445.4531,129005.1641,125762.6719,128384.5938,128384.5938,3.11E+11,0.29596
128291.4531,132644.625,127356.7969,132016.1719,132016.1719,3.33E+11,0.24268
131992.625,136364,131008.7109,134316.375,134316.375,3.45E+11,0.28609
134007.0781,135206.7188,126894.1094,128333.3828,128333.3828,3.21E+11,0.36107
128325.8906,130672.0859,124394.9922,130233.4531,130233.4531,3.22E+11,0.28017
130433.5703,130162.4688,126365.2813,129078.0703,129078.0703,3.45E+11,0.23282
129244.2344,131480.2031,128127.25,130084.8906,130084.8906,3.92E+11,0.29596
130181.3047,130628.5547,127554.4609,128961.8125,128961.8125,3.07E+11,0.24663
128987.5859,129972.3828,126445.5859,126445.5859,126445.5859,2.60E+11,0.17955
126253.3516,126253.3516,111737.2344,114820.7422,114820.7422,4.29E+11,0.1756
114281.2031,116743.8516,111931.2188,115718.3906,115718.3906,3.57E+11,0.33147
115623.6875,116639.9688,107393.1406,108724.5078,108724.5078,3.60E+11,0.26242
108775.2266,109158.1016,98723.94531,102033.4531,102033.4531,3.91E+11,0.28609
101944.625,111373.3672,101640.6719,110333.7266,110333.7266,4.01E+11,0.29793
110291.1875,110518.6953,104060.0547,106577.5625,106577.5625,3.23E+11,0.23085
106469.9609,108419.0391,103595.0625,107570.8438,107570.8438,2.86E+11,0.23874
107725.8359,108761.6719,105425.4375,106079.0078,106079.0078,2.67E+11,0.2052
105715.7422,110081.2031,103733.9297,109114.9531,109114.9531,3.12E+11,0.19928
109013.7031,112217.7031,108486.125,109842.2891,109842.2891,3.17E+11,0.24663
109974.0938,110057.5781,105953.4375,108553.2813,108553.2813,2.90E+11,0.36699
108428.8828,109497.9688,106927.4531,107537.875,107537.875,2.90E+11,0.26636
107555.1797,107544.1016,90430.84375,94519.32031,94519.32031,5.10E+11,0.3078
94538.32813,95947.28906,90705.36719,91772.71094,91772.71094,4.88E+11,0.26439
91923.14063,92564.6875,82534.07813,89704.58594,89704.58594,5.00E+11,0.21703
89248.71875,95928.24219,88159.21875,91164.85938,91164.85938,5.11E+11,0.32753
91144.58594,91853.05469,85896.30469,85908.53125,85908.53125,2.89E+11,0.25255
85981.50781,91342.40625,84735.17969,90544.54688,90544.54688,3.08E+11,0.27425
90506.38281,90895.88281,83400.19531,83955.09375,83955.09375,2.95E+11,0.26439
83819.63281,89311.63281,81391.45313,87741.46094,87741.46094,3.45E+11,0.24663
87939.40625,92726.65625,87939.40625,90643.3125,90643.3125,3.08E+11,0.2565
90788.11719,90903.40625,87287.21094,89442.74219,89442.74219,3.83E+11,0.24466
89470.39063,96544.89844,88044.22656,95321.70313,95321.70313,3.38E+11,0.33937
95467.83594,100265.8828,94338.75781,94741.57813,94741.57813,3.83E+11,0.46564
