Date,Open,High,Low,Close,Adj Close,Volume,Search Vol
20-2-21,83811.51563,90596.44531,82963.64063,88660.39844,88660.39844,6.73479E+12,0.34923
20-2-22,88702.57813,92322.96875,87602.36719,90690.88281,90690.88281,6.69573E+12,0.33542
20-2-23,90619.58594,96324.55469,90500.08594,96006.3125,96006.3125,6.8833E+12,0.39067
20-2-24,96033.90625,96033.90625,88231.14063,92051.48438,92051.48438,7.74527E+12,0.45972
20-2-25,92002.46875,92478.94531,85186.96094,86523.14844,86523.14844,6.99635E+12,0.30977
20-2-26,86523.32031,87543.03906,71125.75,73970.69531,73970.69531,7.90248E+12,0.28412
20-2-27,73987.21094,78207.55469,70318.17188,74566.625,74566.625,6.84871E+12,0.33937
20-2-28,74481.82031,76770.10156,69928.78125,71735.57813,71735.57813,6.32134E+12,0.34923
20-2-29,71717.30469,73672.36719,70080.57813,70270.35938,70270.35938,5.00305E+12,0.26242
20-3-1,70255.09375,72160.96094,67993.3125,69566.28125,69566.28125,5.1821E+12,0.19336
20-3-2,69599.07031,73732.99219,69083.875,72527.98438,72527.98438,6.31393E+12,0.29596
20-3-3,72557.73438,74421.29688,70963.11719,72561.0625,72561.0625,6.4234E+12,0.24071
20-3-4,72559.89844,73015.72656,70385.25781,71529.01563,71529.01563,5.2476E+12,0.21703
20-3-5,71553.13281,74866.42969,71553.13281,73739.16406,73739.16406,5.60031E+12,0.15982
20-3-6,73744.42969,75987.32813,73232.84375,74924.83594,74924.83594,5.66693E+12,0.18941
20-3-7,74920.57031,75795.23438,71921.92188,71977.45313,71977.45313,5.06195E+12,0.13219
20-3-8,72016.45313,72047.25,61489.78906,61489.78906,61489.78906,5.37737E+12,0.14798
20-3-9,61382.24219,62479.90234,56671.06641,60254.70313,60254.70313,6.12229E+12,0.2999
20-3-10,60629.04688,61070.21094,58994.47266,59553.81641,59553.81641,4.67576E+12,0.26636
20-3-11,59562.55859,60218.82422,55066.97656,57739.75391,57739.75391,4.53632E+12,0.25847
20-3-12,57722.41406,58060.12891,37044.89844,37456.37109,37456.37109,6.56029E+12,0.34331
20-3-13,37545.53516,47390.5625,31285.24023,45367.3125,45367.3125,9.1518E+12,0.50511
20-3-14,45486.36328,45561.82031,41254.57422,41681.78516,41681.78516,3.96315E+12,0.28017
20-3-15,41697.92188,46328.78906,41448.62891,44154.83203,44154.83203,4.16194E+12,0.22295
20-3-16,44165.51953,44165.51953,37604.99609,40537.35938,40537.35938,5.03031E+12,0.38475
20-3-17,40570.49609,43946.18359,40564.15234,41585.30078,41585.30078,4.07569E+12,0.27623
20-3-18,41575.13281,42143.97266,41326.125,42318.77734,42318.77734,3.98312E+12,0.27425
20-3-19,42365.94141,50607.13281,42354.83203,49150.10938,49150.10938,5.22924E+12,0.32555
20-3-20,49193.28906,53947.40234,44623.08203,47853.69922,47853.69922,5.69458E+12,0.40645
20-3-21,47785.82031,49364.93359,46367.00391,48117.70313,48117.70313,4.31542E+12,0.27031
20-3-22,48154.60938,49541.88281,44539.29688,44701.24609,44701.24609,3.94996E+12,0.26044
20-3-23,44637.73438,49132.04688,44435.67578,49015.24219,49015.24219,4.54949E+12,0.3078
20-3-24,48992.76953,50280.02734,47926.12109,49960.19141,49960.19141,4.11116E+12,0.34134
20-3-25,49946.39063,50080.66406,47452.38281,48198.48438,48198.48438,3.85742E+12,0.29398
20-3-26,48225.25,48734.40234,47704.05859,48722.43359,48722.43359,3.43086E+12,0.2782
20-3-27,48750.01953,49372.48047,47158.57031,47197.99219,47197.99219,3.59317E+12,0.25452
20-3-28,47129.71875,47696.92578,44995.53516,47143.76172,47143.76172,3.78355E+12,0.18349
20-3-29,47133.47656,47217.73047,45119.71094,45270.55859,45270.55859,3.25438E+12,0.15192
20-3-30,45188.48047,48143.67188,45183.47266,47914.66016,47914.66016,4.06244E+12,0.23282
20-3-31,47891.21094,47942.85938,47213.10938,47852.94531,47852.94531,4.09023E+12,0.21506
20-4-1,47835.39063,48667.20313,46386.33984,48667.20313,48667.20313,4.08312E+12,0.18349
20-4-2,48645.78516,51215.8125,48662.04297,48959.49609,48959.49609,4.89415E+12,0.18349
20-4-3,48976.02734,50807.02344,48796.84375,49916.37891,49916.37891,4.30741E+12,0.19533
20-4-4,49898.37109,50503.35547,49428.17969,50307.73047,50307.73047,3.99421E+12,0.18152
20-4-5,50325.64063,50708.82031,49383.55469,50300.82813,50300.82813,3.81447E+12,0.15192
20-4-6,50286.78906,54506.28125,50049.84375,54339.61719,54339.61719,5.24895E+12,0.26833
20-4-7,54353.09766,57081.06641,53599.55469,54284.93359,54284.93359,5.33671E+12,0.37291
20-4-8,54297.92969,56991.48438,54161.23828,56313.36719,56313.36719,4.6577E+12,0.29004
20-4-9,56347.62109,56561.60938,54969.71875,56149.94531,56149.94531,4.39179E+12,0.33937
20-4-10,56168.53906,56250.17578,50098.30078,51236.92969,51236.92969,4.85943E+12,0.33739
20-4-11,51221.08594,52081.82813,50531.99219,51296.67188,51296.67188,4.09086E+12,0.21506
20-4-12,51298.77734,52469.82031,50918.60547,51451.44531,51451.44531,4.41139E+12,0.2486
20-4-13,51510.79297,51510.79297,48710.89063,50058.74219,50058.74219,4.85748E+12,0.26242
20-4-14,50081.24219,50749.63672,49375.55078,49776.14063,49776.14063,4.50228E+12,0.23085
20-4-15,49807.97266,50616.03125,48268.91016,48436.43359,48436.43359,4.52316E+12,0.21506
